Round,Accuracy
0,0.07804735457468577
1,0.22391113709441685
2,0.4381759719380298
3,0.7062262496346098
4,0.8105817012569424
5,0.8044431452791582
6,0.7933352820812628
7,0.673194972230342
8,0.7223034200526162
9,0.7705349313066355
10,0.6176556562408653
11,0.8857059339374452
12,0.8281204326220404
13,0.892429114294066
14,0.8722595732242034
15,0.8821981876644256
16,0.9035369774919614
17,0.8237357497807658
18,0.38702133878982753
19,0.8477053493130664
20,0.8126278865828706
21,0.8310435545162234
22,0.3767904121601871
23,0.7825197310727857
24,0.8553054662379421
25,0.8950599239988307
26,0.1826951183864367
27,0.8570593393744519
28,0.8403975445776088
29,0.7784273604209295
30,0.9096755334697457
31,0.8766442560654779
32,0.9140602163110202
33,0.8330897398421514
34,0.8985676702718504
35,0.8412744811458638
36,0.8836597486115171
37,0.8184741303712365
38,0.8468284127448115
39,0.7641040631394329
40,0.9152294650686934
41,0.9125986553639287
42,0.8398129201987723
43,0.8968137971353406
44,0.867874890382929
45,0.6854720841859105
46,0.8710903244665302
47,0.9114294066062555
48,0.5486699795381468
49,0.6661794796843028
50,0.6828412744811458
51,0.5966091786027478
52,0.8751826951183864
53,0.887459807073955
54,0.8810289389067524
55,0.42502192341420636
56,0.8538439052908506
57,0.8997369190295236
58,0.8553054662379421
59,0.5665010230926629
60,0.9014907921660333
61,0.8643671441099093
62,0.8769365682548962
63,0.7468576439637533
64,0.9076293481438176
65,0.8459514761765565
66,0.9123063431745104
67,0.9231218941829874
68,0.9035369774919614
69,0.8111663256357791
70,0.895352236188249
71,0.87284419760304
72,0.8827828120432623
73,0.8991522946506869
74,0.8757673194972231
75,0.41332943583747445
76,0.8871674948845367
77,0.8412744811458638
78,0.9210757088570594
79,0.8655363928675825
80,0.8851213095586086
81,0.7711195556854721
82,0.8848289973691903
83,0.893306050862321
84,0.889505992399883
85,0.9020754165448699
86,0.9187372113417129
87,0.8079508915521777
88,0.8883367436422098
89,0.8865828705057001
90,0.9014907921660333
91,0.8722595732242034
92,0.6609178602747735
93,0.8971061093247589
94,0.8570593393744519
95,0.881613563285589
96,0.8558900906167787
97,0.8968137971353406
98,0.8994446068401052
99,0.8950599239988307
100,0.8868751826951183
